item_id,strategy_name,post_title,author,primary_url,source_hash,source_vintage_note,backtest_start,backtest_end,post_time,post_modified_time,backtest_to_post_days,post_publication_days,natural_oos_eligible,oos_integrity_grade,strict_natural_oos,lineage_id,lineage_size,seed_priority,seed_label
聚宽2026年精选/17多品种ETF动量轮动+EPO优化.txt,多品种ETF动量轮动+EPO优化,多品种ETF动量轮动+EPO优化,openhe,https://www.joinquant.com/post/47208,438cb254e50a3056eb125b67b17b051fea7ef78bd7f6a1f079349730feb331ba,current archive source has no pre-OOS immutable timestamp,2019-01-01,2024-03-21,2024-03-23 15:39:26,2024-03-23 15:39:26,2,885,true,C,false,L-60a7724bee,1,P0,多品种 ETF 动量 + EPO
聚宽2026年精选/11低风险中等收益策略.txt,低风险中等收益策略,致敬市场(15)——小盘三正低风险中等收益策略,Gyron,https://www.joinquant.com/post/48789,b50eab823453d45011fe491409debce74dbb585fada5536975e2e3b61c4ebf5a,current archive source has no pre-OOS immutable timestamp,2006-01-01,2024-06-01,2024-06-16 18:35:14,2026-03-07 08:51:33,15,800,true,C,false,L-34fd43a31f,1,P0,低风险中等收益
聚宽2026年精选/18国庆节献礼：实例说明白马股攻防转换策略.txt,国庆节献礼：实例说明白马股攻防转换策略,国庆节献礼：实例说明“白马攻防”策略,蚂蚁量化,https://www.joinquant.com/post/50043,6c6905417ffd57c263e885dfe8be4be9c64e0ac403217909ab15f9c102c7f8ad,current archive source has no pre-OOS immutable timestamp,2013-04-11,2024-10-03,2024-10-05 13:38:36,2025-07-06 12:04:08,2,689,true,C,false,L-b2c15ddbbc,1,P0,白马股攻防
2020年度精选策略/33 买入每个行业市值最大的股票.txt,买入每个行业市值最大的股票,买入每个行业市值最大的股票,w11,https://www.joinquant.com/post/10618,5d1fd53e8c36fa928b6fb303d8264211b4c0ec5693bba45fdde84cacbd48afb1,current archive source has no pre-OOS immutable timestamp,2016-01-01,2018-01-11,2018-01-12 14:47:09,2018-01-12 14:47:09,1,3147,true,C,false,L-8778db04f4,2,,
2020年度精选策略/67 多因子回测完整模板（筛选和买卖条件强于‘策略生成器’）.txt,多因子回测完整模板（筛选和买卖条件强于‘策略生成器’）,多因子回测完整模板（筛选和买卖条件强于‘策略生成器’）,situchuntian,https://www.joinquant.com/post/10730,e670de0a7877a3115f4f04f9ed485d112a01c21109dd8420f9c98c1f08f44e8e,current archive source has no pre-OOS immutable timestamp,2014-01-01,2018-01-17,2018-01-19 14:21:18,2018-01-19 14:21:18,2,3140,true,C,false,L-ad2279e4c5,1,,
2020年度精选策略/70 蓝筹&均线.txt,蓝筹&均线,蓝筹&amp;均线,gz88,https://www.joinquant.com/post/10747,84d911b568e30d831d7b3d50c65db4ece199e74275df598185d9153949d985ea,current archive source has no pre-OOS immutable timestamp,2016-06-01,2017-12-31,2018-01-21 02:36:10,2018-01-21 02:36:10,21,3138,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/03 机器学习多因子策略.txt,机器学习多因子策略,【量化课堂】机器学习多因子策略,JoinQuant量化课堂,https://www.joinquant.com/post/10778,474c197bbaa260721c32122ba86d117a285515e49481c965391f630dbb6c319c,current archive source has no pre-OOS immutable timestamp,2012-01-01,2017-12-31,2018-01-23 12:42:21,2018-01-23 12:42:21,23,3136,true,C,false,L-fb42931d77,2,,
2020年度精选策略/63 向导式.txt,向导式,向导式,哈哈捏,https://www.joinquant.com/post/11024,272da21a421d24060fee681a1f5ba03ef65ebdbbeecd303e7fe46663482f03a5,current archive source has no pre-OOS immutable timestamp,2017-01-01,2017-12-01,2018-02-03 19:37:43,2018-02-03 19:37:43,64,3125,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/39 因子分析——利用JoinQuant因子分析模块选取因子并封装为策略.txt,因子分析——利用JoinQuant因子分析模块选取因子并封装为策略,因子分析——利用JoinQuant因子分析模块选取因子并封装为策略,JQ-RANGEWOLF,https://www.joinquant.com/post/11044,485c7db455c4169fc56b9d0bdc3c2612961e0efc047a12438d0f504761bfd084,current archive source has no pre-OOS immutable timestamp,2017-01-15,2018-01-16,2018-02-05 17:34:15,2018-02-05 17:34:15,20,3123,true,C,false,L-31bc68db0b,1,,
2020年度精选策略/76 MACD——大盘择时.txt,MACD——大盘择时,MACD——大盘择时,Max_Bai,https://www.joinquant.com/post/11102,1f7cb3ca001187d3c75b395132ad712617a27e283c10e9dee2e0f0f205f026ce,current archive source has no pre-OOS immutable timestamp,2005-07-01,2018-02-01,2018-02-09 15:57:37,2018-02-09 15:57:37,8,3119,true,C,false,L-0cf087e82c,1,,
