candidate_id,status,source_vintage_grade,source_sha256,original_source_sha256,strict_natural_oos,oos_evidence_grade,published_cagr,published_max_drawdown,published_sharpe,core_risk_exposure,key_data_gap,next_action,stop_reason,causal_source_sha256,oos_start,oos_end,full_cagr,full_max_drawdown,full_sharpe,oos_cagr,oos_max_drawdown,oos_sharpe,oos_longest_underwater_days,double_cost_cagr,double_cost_max_drawdown,double_cost_sharpe,primary_capacity_min_exposure,capacity_10m_0_5pct_exposure,capacity_200k_exposure,capacity_1m_exposure,capacity_2m_exposure,capacity_10m_exposure,pbo,deflated_sharpe_probability,trial_count,top1_contribution_share,top3_contribution_share,correlation_status,primary_capacity_exposure_retention,full_longest_underwater_days,platform_status,production_data_status,status_before_supplement,supplemental_robustness_passed,supplemental_failed_gates,walk_forward_fold_count,placebo_trial_count,liquidity_contraction_observations,formal_source_sha256,frozen_source_sha256
low-risk-medium-return,R0,C,b50eab823453d45011fe491409debce74dbb585fada5536975e2e3b61c4ebf5a,b50eab823453d45011fe491409debce74dbb585fada5536975e2e3b61c4ebf5a,False,C-data-blocked,0.17346954565618,0.16563132816142,1.2747555717293,small-cap + urban-investment bond + gold + S&P500,399317.XSHE PIT membership and frozen 2024 source vintage,obtain PIT membership or preregister a new universe candidate,causal reconstruction is data-blocked; no alpha substitution allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multi-asset-etf-momentum-epo,R1,B,438cb254e50a3056eb125b67b17b051fea7ef78bd7f6a1f079349730feb331ba,438cb254e50a3056eb125b67b17b051fea7ef78bd7f6a1f079349730feb331ba,False,B-downgraded,,,,dynamic ETF concentration; domestic-large=-0.129; domestic-growth=0.277; nasdaq=0.200; gold=0.436; commodity=0.292,platform orders; QDII premium/discount and cross-market production feed,no more historical tuning; platform/data work only if research resumes,only 51.9% of the 27-neighbor grid reached Sharpe 0.5,438cb254e50a3056eb125b67b17b051fea7ef78bd7f6a1f079349730feb331ba,2024-03-25,2026-07-24,0.3236121887566996,0.1909748696070564,1.3355744959167075,0.4654323745675233,0.1905634923231099,1.444174115869644,143.0,0.3106742704026135,0.1909906176529632,1.290566628247809,0.9862304518487536,0.90424786671681,0.9898764425979704,0.9892204959705524,0.9862304518487536,0.90424786671681,0.5,0.8089051244038458,65.0,0.4038724226494815,0.7833131282057751,not-computed-no-R2-R3-set,,,,,,,,,,,,
white-horse-offense-defense,R1,C,6c6905417ffd57c263e885dfe8be4be9c64e0ac403217909ab15f9c102c7f8ad,6c6905417ffd57c263e885dfe8be4be9c64e0ac403217909ab15f9c102c7f8ad,False,C-downgraded,,,,large-cap=0.188; mid-small-cap=0.113,C-grade source; platform orders; production PIT financial contract,new preregistered relative-capacity protocol before any R2 reassessment,preregistered absolute capacity gate failed; no post-hoc promotion,b2b193b3cbc6f7a2fd1753759d3c37ad38f9a5e0538ce5d417e4b74a191aaaea,2024-10-08,2026-07-23,0.1334159891263664,0.1732201034396594,0.843157121804667,0.2337688636334676,0.1732201034396596,0.907973652304444,,0.1271389155560189,0.1772771857597253,0.809859242438202,0.3733185788361115,0.3588367267400242,0.3733185788361115,0.3787415874339563,0.3773450975819572,0.3588367267400242,0.21428571428571427,0.8419575750905388,63.0,0.0603839893311931,0.1415437314909548,not-computed-no-R2-R3-set,0.981414113118725,,,,,,,,,,,
lazy-etf-regime-switch,R1,B,7c3fce94d72a53e32280608259076309ccf0b7ed4d22848ca83d8f932dbb56cc,,False,none,,,,Nasdaq beta + GEM breakout overlay + gold defense,ADV capacity; QDII production data; daily-path PBO; platform orders,keep M4 frozen; fill non-alpha data and execution gaps only,no independent OOS and incomplete mandatory robustness suite,7c3fce94d72a53e32280608259076309ccf0b7ed4d22848ca83d8f932dbb56cc,,,0.2909676153367322,0.2769527348146234,1.1960080514362958,,,,,0.2786081014538266,0.2806565599395799,1.154428844240425,,,,,,,,,3085.0,,,not-computed-no-R2-R3-set,,,,,,,,,,,,
profitable-small-cap-a-share,R1,C,8f9abb516fa82fabebc8cabfadc359a7e6673a74198f4bcbfb7f46180a1a550c,,False,C-reserved-not-frozen,,,,small-cap and liquidity premium with quality/risk overlays,10m capacity; Top contribution; platform full path; C-grade post-2023 limits,stop deployment if continued benchmark underperformance; platform audit only,67.95% full drawdown and reserved period underperformed CSI300,8f9abb516fa82fabebc8cabfadc359a7e6673a74198f4bcbfb7f46180a1a550c,2023-12-01,2026-07-23,0.1209352424124561,0.6795303534153114,0.6170989396447849,0.0766712555336854,0.3330711827152454,0.4236888597850064,200.0,0.048371,0.341444,,,,,,,,,,,,,not-computed-no-R2-R3-set,,2308.0,,,,,,,,,,
wufu-etf-rotation,R1,C,61692fcf084e46addf7a0863256b3e08b6708ca26765f4d985c48378913c9242,,False,none,,,,Nasdaq/S&P500/commodity/gold rotation; static tracking labels,historical PIT tracking target; full platform portfolio; independent OOS,wait for independent data; do not select a grid or phase winner,"7/16 protocol gates failed, including DSR, capacity, and concentration",61692fcf084e46addf7a0863256b3e08b6708ca26765f4d985c48378913c9242,,,0.1506987689525216,0.3436213551719747,0.7150834853515078,,,,,0.0745673979808585,0.4043396763784954,0.4230895254319394,0.735769551084001,0.436535504199375,0.8976322059011457,0.735769551084001,,0.436535504199375,0.17142857142857143,0.3489088952328726,136.0,0.0740160348094575,0.17296184075807758,not-computed-no-R2-R3-set,,875.0,,,,,,,,,,
csi300-drawdown-bond-switch,R1,B,4f80ec6b4e207dd9cb53baabb5debfd16671229f8b3b92867781e29d79dccd51,4f80ec6b4e207dd9cb53baabb5debfd16671229f8b3b92867781e29d79dccd51,False,B-downgraded,,,,CSI300 equity beta with drawdown-triggered bond switch,weak B-grade post-publication return; no candidate platform export,stop historical tuning; retain as a low-turnover control,keep at R1 and stop tuning the frozen 32-day version,4f80ec6b4e207dd9cb53baabb5debfd16671229f8b3b92867781e29d79dccd51,2021-03-08,2026-07-24,,,,0.0062529242679096,0.3221655946679687,0.1161899016056413,1195.0,0.0044530944112421,0.3224044592007909,0.1040935133203115,,,,,,,,,5.0,,,not-eligible-for-portfolio,,,not-run-stopped-before-R2,not-required-below-R2,,,,,,,,
csi300-ma10-60-cash,R1,B,8d67a7ead17d757ee2b2edd59ace74c29fcfcda0536dc859d1ffb95e905886c3,8d67a7ead17d757ee2b2edd59ace74c29fcfcda0536dc859d1ffb95e905886c3,False,B-downgraded,,,,CSI300 trend beta with large cash allocation,B-grade post-publication Sharpe is near zero; no platform export,stop this disclosed parameter version,keep at R1 and stop tuning the frozen 10/60 version,8d67a7ead17d757ee2b2edd59ace74c29fcfcda0536dc859d1ffb95e905886c3,2018-11-15,2026-07-24,,,,0.0075351728021806,0.4070720760177303,0.124867484086331,1318.0,0.0028071651116177,0.4192676823469136,0.0926417830976428,,,,,,,,,5.0,,,not-eligible-for-portfolio,,,not-run-stopped-before-R2,not-required-below-R2,,,,,,,,
csi300-pe-smart-dca,R0,C,c36134b5d6bfc6da0ec2d80846ecfc1b77d258c071a3e9e909cdb0beaeecbf2b,c36134b5d6bfc6da0ec2d80846ecfc1b77d258c071a3e9e909cdb0beaeecbf2b,False,not-opened-calibration-failed,,,,CSI300 valuation timing and contribution timing,public-window valuation proxy failed calibration,do not open the reserved window or replace the valuation series,the only reproducible daily valuation proxy failed the preregistered public-window calibration,c36134b5d6bfc6da0ec2d80846ecfc1b77d258c071a3e9e909cdb0beaeecbf2b,,,,,,,,,,,,,,,,,,,,,,,,not-eligible-for-portfolio,,,not-run-stopped-before-R2,not-required-below-R2,,,,,,,,
csi300-volume-rsrs,R1,B,36a0bbb302f7901ca74af5d917b24eaaf1caa6f752bade22c833c089bf7384cf,36a0bbb302f7901ca74af5d917b24eaaf1caa6f752bade22c833c089bf7384cf,False,B-downgraded,,,,CSI300 market beta with volume-conditioned RSRS timing,B-grade post-publication Sharpe 0.24 and 38.48% drawdown,stop; do not tune the disclosed optimum on failed OOS,B-grade post-publication Sharpe and drawdown failed and the strategy underperformed both buy-and-hold and half-cash risk-adjusted baselines,36a0bbb302f7901ca74af5d917b24eaaf1caa6f752bade22c833c089bf7384cf,2020-05-15,2026-07-23,,,,0.025216804447648178,0.3848446206001014,0.23702440544572428,1317.0,0.0226350857364006,0.3907187074595963,0.2209451919753497,,,,,,,,,,,,not-eligible-for-portfolio,,,not-run-stopped-before-R2,not-required-below-R2,,,,,,,,
